STEP 1: AWAKE | value=Simple Calendar Pro
STEP 2: CLICK | point=67,347
STEP 3: CLICK | point=892,925
STEP 4: CLICK | point=892,925
STEP 5: TYPE | value=Appointment with Hafid, point=89,162
STEP 6: CLICK | point=892,455
STEP 7: CLICK | point=497,636
STEP 8: CLICK | point=773,758
STEP 9: CLICK | point=892,511
STEP 10: CLICK | point=773,758
STEP 11: CLICK | point=892,511
STEP 12: CLICK | point=773,758
STEP 13: CLICK | point=892,511
STEP 14: CLICK | point=419,626
STEP 15: CLICK | point=773,758
STEP 16: CLICK | point=938,86
